title,authors,eprint_number,arXiv_category,doi,citation_count,abstract
Constraints on PBH as dark matter from observations: a review,Marc Oncins,2205.14722,astro-ph.CO,,3,"Primordial black holes (PBHs) are a fascinating candidate for being the dark matter, albeit one which has been heavily constrained. This review presents an in depth look at those observational constraints, particularly at their nuances and uncertainties. Despite their varied origins, the standard PBH formation path is assumed to be collapse of perturbations after inflation, which should leave signals visible in the CMB at certain scales. Other constraints come from microlensing surveys, which severely limit PBHs as dark matter in the solar to satellite range, but there are diminishing results in regards to lower mass ranges. Gravitational waves signals and PBH evaporation from Hawking radiation also make for useful probes, but the former requires the next generation of experiments before making constraints beyond the solar mass range, and the later is severely limited above $10^{-16} \rm M_{\odot}$. Other dynamical and accretion constraints exist for PBH of large masses. Care also has to be given, as all these constraints can carry different implications coming from differences between monochromatic and extended mass distributions, and their degree of clustering. Beyond all these issues, a window still exists for primordial black holes to be all of the dark matter between $10^{-16}$ and $10^{-11} \rm M_{\odot}$"
Ultralight pion and superheavy baryon dark matter,"Azadeh Maleknejad, Evan McDonough",2205.12983,hep-ph,10.1103/PhysRevD.106.095011,6,"We consider a dark confining gauge theory with millicharged Ultra-Light Pions (ULP) and heavy baryons as dark matter candidates. The model simultaneously realizes the ultra-light (STrongly-interacting Ultralight Millicharged Particle or ""STUMP"") and superheavy (""WIMPzilla"") dark matter paradigms, connected by the confinement scale of the dark QCD. It is a realization of millicharged ULDM, very unlike conventional axions, and exhibits a mass splitting between the charged and neutral pions. ULPs can easily provide the observed density of the dark matter, and be cosmologically stable, for a broad range of dark QCD scales and quark masses. The dark baryons, produced via gravitational particle production or via freeze-in, provide an additional contribution to the dark matter density. Dark matter halos and boson stars in this context are generically an admixture of the three pions and heavy baryons, leading to a diversity of density profiles. That opens up the accessible parameter space of the model compared with the standard millicharged DM scenarios and can be probed by future experiments. We briefly discuss additional interesting phenomenology, such as ULP electrodynamics, and Cosmic ULP Backgrounds."
Gravitational waves from neutrino mass genesis,Pasquale Di Bari,2205.05744,hep-ph,10.22323/1.406.0064,0,"The discovery of gravitational waves opens new opportunities to test BSM physics. In particular, the production of a stochastic background of primordial gravitational waves could provide a signature of the generation of the right-right Majorana neutrino mass term necessary, within type-I seesaw mechanism, to explain lightness of neutrinos and their mixing parameters. I will discuss the possibility that such a generation occurs during a strong first order phase transition within Majoron models [1]. As well known, this can indeed produce a stochastic background of gravitational waves. The scale of the phase transition can or cannot coincide with the seesaw scale. In the latter case a low scale phase transition, occurring in the pre-recombination era, might be tested at very low frequencies ($10^{-9}$--$10^{-6}\,{\rm Hz}$). Even though the signal can hardly reproduce the NANOGrac putative signal such new physics at low scale might help ameliorating the tensions in the $\Lambda$CDM cosmological model (e.g., the Hubble tension). I will also discuss how a phase transition might be responsible for the generation of dark matter in the form of dark neutrinos coupling to the seesaw neutrinos via Higgs induced right handed-right handed neutrino mixing [2]."
Hunt for light primordial black hole dark matter with ultrahigh-frequency gravitational waves,"Gabriele Franciolini, Anshuman Maharana, Francesco Muia",2205.02153,astro-ph.CO,10.1103/PhysRevD.106.103520,41,"Light primordial black holes may comprise a dominant fraction of the dark matter in our Universe. This paper critically assesses whether planned and future gravitational wave detectors in the ultra-high-frequency band could constrain the fraction of dark matter composed of sub-solar primordial black holes. Adopting the state-of-the-art description of primordial black hole merger rates, we compare various signals with currently operating and planned detectors. As already noted in the literature, our findings confirm that detecting individual primordial black hole mergers with currently existing and operating proposals remains difficult. Current proposals involving gravitational wave to electromagnetic wave conversion in a static magnetic field and microwave cavities feature a technology gap with respect to the loudest gravitational wave signals from primordial black holes of various orders of magnitude. However, we point out that one recent proposal involving resonant LC circuits represents the best option in terms of individual merger detection prospects in the range $(1\div 100) \, \text{MHz}$. In the same frequency range, we note that alternative setups involving resonant cavities, whose concept is currently under development, might represent a promising technology to detect individual merger events. We also show that a detection of the stochastic gravitational wave background produced by unresolved binaries is possible only if the theoretical sensitivity of the proposed Gaussian beam detector is achieved. Such a detector, whose feasibility is subject to various caveats, may be able to rule-out some scenarios for asteroidal mass primordial black hole dark matter. We conclude that pursuing dedicated studies and developments of gravitational wave detectors in the ultra-high-frequency band remains motivated and may lead to novel probes on the existence of light primordial black holes."
(P)reheating and gravitational waves in α-attractor models,"Tomasz Krajewski, Krzysztof Turzyński",2204.12909,astro-ph.CO,10.1088/1475-7516/2022/10/005,5,"We study post-inflationary evolution in $\alpha$-attractor T-models of inflation. We consider the dynamics of both scalar fields present in these models: the inflaton and the spectator, as a negative field-space curvature may lead to geometrical destabilization of the spectator. We perform state-of-the-art lattice simulations with a dedicated numerical code optimized for those models. We corroborate earlier findings that the perturbations of the spectator field are much more unstable than the perturbations of the inflaton field, so the dynamics of early stages of preheating is dominated by the evolution of spectator perturbations. We also calculate the spectrum of gravitational waves originating from scalar fluctuations in order to determine if the $\alpha$-attractor T-models can be constrained or even ruled out by present cosmological observations, but not by direct searches of gravitational waves."
The rise of the primordial tensor spectrum from an early scalar-tensor epoch,"Debika Chowdhury, Gianmassimo Tasinato, Ivonne Zavala",2204.10218,gr-qc,10.1088/1475-7516/2022/08/010,6,"Primordial gravitational waves (PGW) produced during inflation span a large range of frequencies, carrying information on the dynamics of the primordial universe. During an early scalar-tensor dominated epoch, the amplitude of the PGW spectrum can be enhanced over a wide range of frequencies. To study this phenomenon, we focus on a class of scalar-tensor theories, well motivated by high energy theories of dark energy and dark matter, where the scalar is conformally and disformally coupled to matter during the early cosmological evolution. For a conformally dominated epoch, the PGW spectrum has a flat step-like shape. More interestingly, a disformally dominated epoch is characterised by a peaked spectrum with a broken power-law profile, with slopes depending on the scalar-tensor theory considered. We introduce a graphical tool, called broken power-law sensitivity curve, as a convenient visual indicator for understanding whether a given broken power-law profile can be detected by GW experiments. We then analyse the GW spectra for a variety of representative conformal and disformal models, discussing their detectability prospects with the Einstein Telescope (ET), Laser Interferometer Space Antenna (LISA), DECi-hertz Interferometer Gravitational wave Observatory (DECIGO), and Big Bang Observer (BBO)."
Enhanced Gravitational Waves from Inflaton Oscillons,"Kaloian D. Lozanov, Volodymyr Takhistov",2204.07152,astro-ph.CO,10.1103/PhysRevLett.130.181002,15,"In broad classes of inflationary models the period of accelerated expansion is followed by fragmentation of the inflaton scalar field into localized, long-lived and massive oscillon excitations. We demonstrate that matter-dominance of oscillons, followed by their rapid decay, significantly enhances the primordial gravitational wave (GW) spectrum. These oscillon-induced GWs, sourced by second-order perturbations, are distinct and could be orders of magnitude lower in frequency than the previously considered GWs associated with oscillon formation. We show that detectable oscillon-induced GW signatures establish direct tests independent from cosmic microwave background radiation (CMB) for regions of parameter space of monodromy, logarithmic and pure natural (plateau) potential classes of inflationary models, among others. We demonstrate that oscillon-induced GWs in a model based on pure natural inflation could be directly observable with the Einstein Telescope, Cosmic Explorer and DECIGO. These signatures offer a new route for probing the underlying inflationary physics."
Gravitational wave science from space,A.M. Cruise,,,10.1116/5.0072851,0,
Scalar induced gravitational waves from warm inflation,"Richa Arya, Arvind Kumar Mishra",2204.02896,astro-ph.CO,10.1016/j.dark.2022.101116,9,"Stochastic gravitational waves can be induced from the primordial curvature perturbations generated during inflation, through scalar-tensor mode coupling at the second order of cosmological perturbation theory. Here we discuss a model of warm inflation in which large curvature perturbations are generated at the small scales because of inflaton dissipation. These overdense perturbations then collapse at later epoch to form primordial black holes, as was studied in our earlier work (Ref. \cite{Arya:2019wck}), and therefore may also act as a source to the second-order tensor perturbations. In this study, we calculate the spectrum of these secondary gravitational waves from our warm inflationary model. We find that our model leads to a generation of scalar induced gravitational waves (SIGW) over a frequency range ($1-10^6$) Hz. Further, we discuss the detection possibilities of these SIGWs, taking in account the sensitivity of different ongoing and future gravitational wave experiments."
Gravity at the tip of the throat,"Bruno Valeixo Bento, Dibya Chakraborty, Susha Parameswaran, Ivonne Zavala",2204.02086,hep-th,10.1007/JHEP09(2022)208,4,"We study the gravitational signatures that arise from compactifying Type IIB supergravity on a compact space containing a Klebanov-Strassler warped throat. After reviewing the dimensional reduction of the 10d graviton and explicitly obtaining the equations of motion for the 4d tensor $h_{\mu\nu}$, vector $h_{\mu n}$ and scalar $h_{mn}$ modes, we find the masses and wavefunctions of the Kaluza-Klein tower of spin-2 states. We explore how the masses and wavefunctions depend on the balance between the strength of the warping and the size of the bulk, and how these relate to the range and strength of the interactions which correct the Newtonian gravitational potential. By computing the modified Newtonian potential for sources on a brane somewhere along the throat, and applying consistency constraints on the Klebanov-Strassler parameters, we obtain predictions for the phenomenological parameter space. In the case of a fully warped throat, and depending on where the brane is along the throat, these predictions are narrow in range and consistent with current observational and experimental constraints. We also begin an exploration of gravitational wave signatures of KK gravitons in warped throats, finding that strong warping can bring the corresponding frequencies down to the windows of current and proposed experiments."
New Horizons: Scalar and Vector Ultralight Dark Matter,"D. Antypas, A. Banerjee, C. Bartram, M. Baryakhtar, J. Betz",2203.14915,hep-ex,,85,"The last decade has seen unprecedented effort in dark matter model building at all mass scales coupled with the design of numerous new detection strategies. Transformative advances in quantum technologies have led to a plethora of new high-precision quantum sensors and dark matter detection strategies for ultralight ($<10\,$eV) bosonic dark matter that can be described by an oscillating classical, largely coherent field. This white paper focuses on searches for wavelike scalar and vector dark matter candidates."
Detectable Gravitational Waves from (P)-reheating probes non-thermal Dark Matter,"Anish Ghoshal, Pankaj Saha",2203.14424,hep-ph,,5,"We show that the stochastic Gravitational Waves (GW) signal generated during the (p)reheating era can act as a novel probe of the non-thermal dark matter production in the early Universe. Such scenarios are of utmost interest when no other interaction between the visible and dark sectors is present, therefore having no other detectability prospects. We consider the remnant energy in the coherently oscillating inflaton zeroth mode to contribute as the observed relic dark matter density in the Universe. To fully capture the nonlinear dynamics and the effects of back-reactions during the oscillation, we resort to fully nonlinear lattice simulation with pseudo-spectral methods to eliminate the differencing noises. We investigate for models whose behavior during the reheating era is of quadratic ($m_{\Phi}^2\Phi^2$ type) and find the typical primordial stochastic GW background (SGWB) spectrum from scatterings among highly populated inflaton modes behaving like matter, as expected, during this nonlinear phase. We predict the detectable dark matter mass ranges within the future GW detectors such as BBO, DECIGO, PTA, AION-MAGIS, and CE to be (MeV - TeV) ranges. We conclude that with the current and future GW detectors operating at high frequencies one will be able to probe non-thermal dark matter which is otherwise impossible to test at laboratories and astrophysical searches due to feeble or no interaction among the visible and dark sectors."
"Searches for New Particles, Dark Matter, and Gravitational Waves with SRF Cavities","Asher Berlin, Sergey Belomestnykh, Diego Blas, Daniil Frolov, Anthony J. Brady",2203.12714,hep-ph,,34,"This is a Snowmass white paper on the utility of existing and future superconducting cavities to probe fundamental physics. Superconducting radio frequency (SRF) cavity technology has seen tremendous progress in the past decades, as a tool for accelerator science. With advances spear-headed by the SQMS center at Fermilab, they are now being brought to the quantum regime becoming a tool in quantum science thanks to the high degree of coherence. The same high quality factor can be leveraged in the search for new physics, including searches for new particles, dark matter, including the QCD axion, and gravitational waves. We survey some of the physics opportunities and the required directions of R&D. Given the already demonstrated integration of SRF cavities in large accelerator systems, this R&D may enable larger scale searches by dedicated experiments."
On the principle of Astrometric Gravitational Wave Antenna,"Mariateresa Crosta, Mario G. Lattanzi, Christophe Le Poncin-Lafitte, Mario Gai, Qi Zhaoxiang",2203.12760,gr-qc,,0,"The direct detection of gravitational waves by ground-based optical interferometers has opened a new window in astronomy. Nevertheless, as these detectors are a combination of two Michelson-Morley like baselines, their sensitivity for determining the incident direction of a gravitational wave is quite weak compared to current high-precision of space astrometry. We therefore present a novel concept for a gravitational wave antenna in space that uses close pairs of point-like sources as natural sensors to record and characterize the very tiny variations in angular separations induced by a passing gravitational wave, thus operating complementarily to linear arm detectors and enabling to gain informations on the gravitational wave incoming direction. Indeed, the proposed astrometric gravitational wave observable builds on methods of relativistic astrometry that can substantially enhance the strength of gravitational wave signals by exploiting to the fullest the telescope optical resolution and, at same time, provide a powerful tool for identifying the direction to the sources that originated the gravitational wave by monitoring close pairs of stars. Furthermore, the use of two local-line-of-sights in a differential formulation avoids issues related to high order modeling of the local (Solar System) background geometry and the need for accurate satellite ephemeris and attitude."
Astrophysical Signatures of Dark Matter,Melissa Diamond,,,,0,
The Physics of Light Relics,"Cora Dvorkin, Joel Meyers, Peter Adshead, Mustafa Amin, Carlos A. Argüelles",2203.07943,hep-ph,,40,"Many well-motivated extensions of the Standard Model predict the existence of new light species that may have been produced in the early universe. Prominent examples include axions, sterile neutrinos, gravitinos, dark photons, and more. The gravitational influence of light relics leaves imprints in the cosmic microwave background fluctuations, the large-scale structure of the universe and the primordial element abundances. In this paper, we detail the physics of cosmological light relics, and describe how measurements of their relic density and mass serve as probes of physics beyond the Standard Model. A measurement of the light relic density at the precision of upcoming cosmological surveys will point the way toward new physics or severely constrain the range of viable extensions to the Standard Model."
"Snowmass 2021: Quantum Sensors for HEP Science -- Interferometers, Mechanics, Traps, and Clocks","Oliver Buchmueller, Daniel Carney, Thomas Cecil, John Ellis, R.F. Garcia Ruiz",2203.07250,quant-ph,,10,"A wide range of quantum sensing technologies are rapidly being integrated into the experimental portfolio of the high energy physics community. Here we focus on sensing with atomic interferometers; mechanical devices read out with optical or microwave fields; precision spectroscopic methods with atomic, nuclear, and molecular systems; and trapped atoms and ions. We give a variety of detection targets relevant to particle physics for which these systems are uniquely poised to contribute. This includes experiments at the precision frontier like measurements of the electron dipole moment and electromagnetic fine structure constant and searches for fifth forces and modifications of Newton's law of gravity at micron-to-millimeter scales. It also includes experiments relevant to the cosmic frontier, especially searches for gravitional waves and a wide variety of dark matter candidates spanning heavy, WIMP-scale, light, and ultra-light mass ranges. We emphasize here the need for more developments both in sensor technology and integration into the broader particle physics community."
Revealing the cosmic history with gravitational waves,"Andreas Ringwald, Carlos Tamarit",2203.00621,hep-ph,10.1103/PhysRevD.106.063027,16,"The characteristics of the cosmic microwave background provide circumstantial evidence that the hot radiation-dominated epoch in the early universe was preceded by a period of inflationary expansion. Here, we show how a measurement of the stochastic gravitational wave background can reveal the cosmic history and the physical conditions during inflation, subsequent pre- and re-heating, and the beginning of the hot big bang era. This is exemplified with a particularly well-motivated and predictive minimal extension of the Standard Model which is known to provide a complete model for particle physics -- up to the Planck scale, and for cosmology -- back to inflation."
Spectroscopy of particle couplings with gravitational waves,"Daniel G. Figueroa, Adrien Florio, Nicolas Loayza, Mauro Pieroni",2202.05805,astro-ph.CO,10.1103/PhysRevD.106.063522,6,"We discuss the possibility to measure particle couplings with stochastic gravitational wave backgrounds (SGWBs). Under certain circumstances a sequence of peaks of different amplitude and frequency -- a $stairway$ -- emerges in a SGWB spectrum, with each peak probing a different coupling. The detection of such signature opens the possibility to reconstruct couplings (spectroscopy) of particle species involved in high energy phenomena generating SGWBs. Stairway-like signatures may arise in causally produced backgrounds in the early Universe, e.g. from preheating or first order phase transitions. As a proof of principle we study a preheating scenario with an inflaton $\phi$ coupled to multiple $daughter$ fields $\lbrace \chi_j \rbrace$ with different coupling strengths. As a clear stairway signature is imprinted in the SGWB spectrum, we reconstruct the relevant couplings with various detectors."
Thermal emission of gravitational waves from weak to strong coupling,"Lucía Castells-Tiestos, Jorge Casalderrey-Solana",2202.05241,hep-th,10.1007/JHEP10(2022)049,2,"We study the production of gravitational waves by a thermalized plasma of $\mathcal N$=4 Supersymmetric Yang Mills matter. We focus on the large number of colors limit, $N_c\rightarrow \infty$, and compute the spectrum of gravitational waves both for infinitely large and infinitesimally small values of the 't Hooft coupling constant $\lambda$. In the $\lambda\rightarrow \infty$ limit we employ the gauge/gravity duality to compute the emission rate via the analysis of Energy-Momentum tensor thermal correlators. In the $\lambda \rightarrow 0$ limit we employ state-of-the-art perturbative analyses to calculate the complete leading order emission rate. By comparing these extreme limits, we bracket the magnitude of the spectrum induced by this source of gravitational waves. Embedding our results in a cosmological evolution model, we find qualitative and quantitative similarities between the strong coupling spectrum and the extrapolation of the perturbative results up to an intermediate value of the coupling, after an appropriate re-scaling of the effective number of degrees of freedom. We comment on how our results can help better understand the contribution of thermalized matter to the stochastic spectrum of gravitational waves."
Novel Search for High-Frequency Gravitational Waves with Low-Mass Axion Haloscopes,"Valerie Domcke, Camilo Garcia-Cely, Nicholas L. Rodd",2202.00695,hep-ph,10.1103/PhysRevLett.129.041101,57,"Gravitational waves (GWs) generate oscillating electromagnetic effects in the vicinity of external electric and magnetic fields. We discuss this phenomenon with a particular focus on reinterpreting the results of axion haloscopes based on lumped-element detectors, which probe GWs in the 100 kHz-100 MHz range. Measurements from ABRACADABRA and SHAFT already place bounds on GWs, although the present strain sensitivity is weak. However, we demonstrate that the sensitivity scaling with the volume of such instruments is significant - faster than for axions - and so rapid progress will be made in the future. With no modifications, DMRadio-m$^3$ will have a GW strain sensitivity of $h \sim 10^{-20}$ at 200 MHz. A simple modification of the pickup loop used to readout the induced magnetic flux can parametrically enhance the GW sensitivity, particularly at lower frequencies."
Gertsenshtein-Zel′'′dovich effect: A plausible explanation for fast radio bursts?,"Ashu Kushwaha, Sunil Malik, S. Shankaranarayanan",2202.00032,astro-ph.HE,,4,"We present a novel model that may provide an interpretation for a class of non-repeating FRBs -- short ($<1~\rm{s}$), bright ($0.1 - 1000~\rm{Jy}$) bursts of MHz-GHz frequency radio waves. The model has three ingredients -- compact object, a progenitor with effective magnetic field strength around $10^{10}~{\rm Gauss}$, and high frequency (MHz-GHz) gravitational waves (GWs). At resonance, the energy conversion from GWs to electromagnetic waves occurs when GWs pass through the magnetosphere of such compact objects due to the Gertsenshtein-Zel'dovich effect. This conversion produces bursts of electromagnetic waves in the MHz-GHz range, leading to FRBs. Our model has three key features: (i) predict peak-flux, (ii) can naturally explain the pulse width, and (iii) coherent nature of FRB. We thus conclude that the neutron star/magnetar could be the progenitor of FRBs. Further, our model offers a novel perspective on the indirection detection of GWs at high-frequency beyond detection capabilities. Thus, transient events like FRBs are a rich source for the current era of multi-messenger astronomy."
Stochastic Gravitational-Wave Backgrounds: Current Detection Efforts and Future Prospects,"Arianna I. Renzini, Boris Goncharov, Alexander C. Jenkins, Pat M. Meyers",2202.00178,gr-qc,10.3390/galaxies10010034,51,"The collection of individually resolvable gravitational wave (GW) events makes up a tiny fraction of all GW signals which reach our detectors, while most lie below the confusion limit and go undetected. Like voices in a crowded room, the collection of unresolved signals gives rise to a background which is well-described via stochastic variables, and hence referred to as the stochastic GW background (SGWB). In this review, we provide an overview of stochastic GW signals, and characterise them based on features of interest such as generation processes and observational properties. We then review the current detection strategies for stochastic backgrounds, offering a ready-to-use manual for stochastic GW searches in real data. In the process, we distinguish between interferometric measurements of GWs, either by ground-based or space-based laser interferometers, and timing-residuals analyses with pulsar timing arrays (PTAs). These detection methods have been applied to real data both by the large GW collaborations and smaller research groups, and the most recent and instructive results are reported here. We close this review with an outlook on future observations with third generation detectors, space-based interferometers, and potential non-interferometric detection methods proposed in the literature."
Improved analytic solution of black hole superradiance,"Shoushan Bao, Qixuan Xu, Hong Zhang",2201.10941,gr-qc,10.1103/PhysRevD.106.064016,6,"The approximate solution of the Klein-Gordon equation for a real scalar field of mass $\mu$ in the geometry of a Kerr black hole obtained by Detweiler \cite{Detweiler:1980uk} is widely used in the analysis of the stability of black holes as well as the search of axion-like particles. In this work, we confirm a missing factor $1/2$ in this solution, which was first identified in Ref.~\cite{Pani:2012bp}. The corrected result has strange features that put questions on the power-counting strategy. We solve this problem by adding the next-to-leading order (NLO) contribution. Compared to the numerical results, the NLO solution reduces the percentage error of the LO solution by a factor of 2 for all important values of $r_g \mu$. Especially the percentage error is $\lesssim 10\%$ in the region of $r_g\mu \lesssim 0.35$. The NLO solution also has a compact form and could be used straightforwardly."
Gravitational wave background from non-Abelian reheating after axion-like inflation,"P. Klose, M. Laine, S. Procacci",2201.02317,hep-ph,10.1088/1475-7516/2022/05/021,14,"A pseudoscalar inflaton $\varphi$, coupled to the topological charge density $F\tilde{F}$ of a non-Abelian sector, can decay to gauge bosons ($\varphi\to g g $), which may thermalize rapidly. The friction felt by $\varphi$ is then increased by non-Abelian ""strong sphalerons"", leading to a self-amplifying process that can efficiently heat up the medium. We determine a lower bound for the gravitational wave production rate from such a process, originating via hydrodynamic fluctuations and particle collisions, in terms of a minimal number of parameters. Only a moderate fraction of energy density is converted to gravitational waves, suggesting that non-Abelian models may avoid the overproduction observed in some Abelian cases."
Spinodal Gravitational Waves,"Yago Bea, Jorge Casalderrey-Solana, Thanasis Giannakopoulos, Aron Jansen, Sven Krippendorf",2112.15478,hep-th,,12,"We uncover a new gravitational-wave production mechanism in cosmological, first-order, thermal phase transitions. These are usually assumed to proceed via the nucleation of bubbles of the stable phase inside the metastable phase. However, if the nucleation rate is sufficiently suppressed, then the Universe may supercool all the way down the metastable branch and enter the spinodal region. In this case the transition proceeds via the exponential growth of unstable modes and the subsequent formation, merging and relaxation of phase domains. We use holography to follow the real-time evolution of this process in a strongly coupled, four-dimensional gauge theory. The resulting gravitational wave spectrum differs qualitatively from that in transitions mediated by bubble nucleation. We discuss the possibility that the spinodal dynamics may be preceded by a period of thermal inflation."
Gravitational shine of dark domain walls,"E. Babichev, D. Gorbunov, S. Ramazanov, A. Vikman",2112.12608,hep-ph,10.1088/1475-7516/2022/04/028,24,"Cosmic domain walls are harmless, provided that their tension decreases with expansion of the Universe. This setup can be realized, if the scale of spontaneous symmetry breaking is induced dynamically through the interaction with hot primordial plasma. In that case, the domain wall tension can attain large values in the early Universe without any conflict with observations. Owing to the large initial tension, these topological defects may serve as a powerful source of gravitational waves. We make a preliminary estimate of the gravitational wave spectrum and argue that it is distinct from the spectrum produced by other sources, in particular by domain walls of a constant tension. The resulting gravitational wave signal is in the range accessible by Einstein Telescope, DECIGO, TianQin, LISA, IPTA, or SKA, if the field constituting the domain walls is very feebly coupled with hot primordial plasma and has tiny self-interactions. In particular, one can consider this field for the role of Dark Matter. We discuss various Dark Matter production mechanisms and properties of the emitted gravitational waves associated with them. We find that the conventional freeze-out and freeze-in mechanisms lead to large and perhaps unobservable frequency of gravitational waves. However, the Dark Matter production is also possible at the second order phase transition leading to the domain wall formation or at the inverse phase transition, when the domain walls get dissolved eventually. In both cases, there is essentially no lower bound on the frequency of emitted gravitational waves."
Scalar field couplings to quadratic curvature and decay into gravitons,"Yohei Ema, Kyohei Mukaida, Kazunori Nakayama",2112.12774,hep-ph,10.1007/JHEP05(2022)087,8,"Any field, even if it lives in a completely hidden sector, interacts with the visible sector at least via the gravitational interaction. In this paper, we show that a scalar field in such a hidden sector generically couples to the quadratic curvature via dimension five operators, i.e., $\phi R^2$, $\phi R^{\mu\nu} R_{\mu\nu}$, $\phi R_{\mu\nu\rho\sigma} R^{\mu\nu\rho\sigma}$, $\phi R_{\mu\nu\rho\sigma} \tilde R^{\mu\nu\rho\sigma}$, because they can emerge if there exist particles heavier than it. We derive these scalar couplings to the quadratic curvature by integrating out heavy particles in a systematic manner. Such couplings are of phenomenological interest since some of them induce the scalar decay into the graviton pair. We point out that the decay of a scalar field can produce a substantial amount of the stochastic cosmic graviton background at high frequency since the suppression scale of these operators is given by the mass of heavy particles not by the Planck scale. The resultant graviton spectrum is computed in some concrete models."
Quintessential Inflation: A Tale of Emergent and Broken Symmetries,"Dario Bettoni, Javier Rubio",2112.11948,astro-ph.CO,10.3390/galaxies10010022,21,"Quintessential inflation provides a unified description of inflation and dark energy in terms of a single scalar degree of freedom, the cosmon. We present here a comprehensive overview of this appealing paradigm, highlighting its key ingredients and keeping a reasonable and homogeneous level of details. After summarizing the cosmological evolution in a simple canonical case, we discuss how quintessential inflation can be embedded in a more general scalar-tensor formulation and its relation to variable gravity scenarios. Particular emphasis is placed on the role played by symmetries. In particular, we discuss the evolution of the cosmon field in terms of ultraviolet and infrared fixed points potentially appearing in quantum gravity formulations and leading to the emergence of scale invariance in the early and late Universe. The second part of the review is devoted to the exploration of the phenomenological consequences of the paradigm. First, we discuss how direct couplings of the cosmon field to matter may affect neutrinos masses and primordial structure formation. Second, we describe how Ricci-mediated couplings to spectator fields can trigger the spontaneous symmetry breaking of internal symmetries such as, but not limited to, global U(1) or $Z_2$ symmetries, and affect a large variety of physical processes in the early Universe."
Asteroids forμHzgravitational-wave detection,"Michael A. Fedderke, Peter W. Graham, Surjeet Rajendran",2112.11431,gr-qc,10.1103/PhysRevD.105.103018,32,"A major challenge for gravitational-wave (GW) detection in the $\mu$Hz band is engineering a test mass (TM) with sufficiently low acceleration noise. We propose a GW detection concept using asteroids located in the inner Solar System as TMs. Our main purpose is to evaluate the acceleration noise of asteroids in the $\mu$Hz band. We show that a wide variety of environmental perturbations are small enough to enable an appropriate class of $\sim 10$ km-diameter asteroids to be employed as TMs. This would allow a sensitive GW detector in the band $\text{(few)} \times 10^{-7} \text{Hz} \lesssim f_{\text{GW}} \lesssim \text{(few)} \times 10^{-5} \text{Hz}$, reaching strain $h_c \sim 10^{-19}$ around $f_{\text{GW}} \sim 10 \mu$Hz, sufficient to detect a wide variety of sources. To exploit these asteroid TMs, human-engineered base stations could be deployed on multiple asteroids, each equipped with an electromagnetic transmitter/receiver to permit measurement of variations in the distance between them. We discuss a potential conceptual design with two base stations, each with a space-qualified optical atomic clock measuring the round-trip electromagnetic pulse travel time via laser ranging. Tradespace exists to optimize multiple aspects of this mission: for example, using a radio-ranging or interferometric link system instead of laser ranging. This motivates future dedicated technical design study. This mission concept holds exceptional promise for accessing this GW frequency band."
A faster growth of perturbations in an early matter dominated epoch: primordial black holes and gravitational waves,"Subinoy Das, Anshuman Maharana, Francesco Muia",2112.11486,astro-ph.CO,10.1093/mnras/stac1620,5,"We present a scenario for fast growth of cosmological perturbations; $\delta(t) \sim a(t)^s$, $a(t)$ being the scale factor, with $s > 10$ for the numerical examples reported in this article. The basic ingredients of the scenario are an early matter dominated era and the dark fermion which experiences a scalar mediated force during the epoch. Both of these arise in string/supergravity models. The fast growth occurs for sub-horizon density perturbations of the dark fermion. The fast growth has a rich set of phenomenological implications. We outline implications for the formation of primordial black holes and the production of gravitational waves. Primordial black holes in the sub-lunar mass range (which are ideal dark matter candidates) can be produced. Gravitational waves can be produced in a wide range of frequencies due to second order scalar perturbations and due to evaporation and merger of primordial black holes."
Detecting high-frequency gravitational waves with microwave cavities,"Asher Berlin, Diego Blas, Raffaele Tito D'Agnolo, Sebastian A.R. Ellis, Roni Harnik",2112.11465,hep-ph,10.1103/PhysRevD.105.116011,75,"We give a detailed treatment of electromagnetic signals generated by gravitational waves (GWs) in resonant cavity experiments. Our investigation corrects and builds upon previous studies by carefully accounting for the gauge dependence of relevant quantities. We work in a preferred frame for the laboratory, the proper detector frame, and show how to resum short-wavelength effects to provide analytic results that are exact for GWs of arbitrary wavelength. This formalism allows us to firmly establish that, contrary to previous claims, cavity experiments designed for the detection of axion dark matter only need to reanalyze existing data to search for high-frequency GWs with strains as small as $h\sim 10^{-22}-10^{-21}$. We also argue that directional detection is possible in principle using readout of multiple cavity modes. Further improvements in sensitivity are expected with cutting-edge advances in superconducting cavity technology."
